,Health Facility Name,Address,street,landmark,locality,pincode,landline_number,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Block_Name
9762,Gunj,At gunj,Gunj SC,Gunj Mahol Raoad Gunj,Near I.T.I Collage,445205.0,7236222351,19.8477793,77.7069855,250.0,SubCentre,Maharashtra,Yavatmal,Mahagaon,Mahagaon
9763,Bhandgaon,22,Bhandgaon Khor  Road,Grampanchat office,Village Bhandgaon,412214.0,2119219008,18.468289000000002,74.30734,0.0,SubCentre,Maharashtra,Pune,Daund,Daund
9764,Gangalwadi,Sub Centre Gangalwadi,"Ward No.1, Baradkinhi Raod",Near Z.P. Primary School,Bramhapuri,441206.0,,20.48024,79.92005999999999,0.0,SubCentre,Maharashtra,Chandrapur,Brahmapuri,Brahmapuri
9765,Tambale,MAndirajaval,,Rural,Bhudargad (4291),416209.0,02324-234119,16.7,73.56,0.0,SubCentre,Maharashtra,Kolhapur,Bhudargad,Bhudargad
9766,Madakhed Bk,Sub Center Madakhed,At port Madakhed,Near Grampanchayt,Sub Center Madakhed,443402.0,07266 263166,20.97529,76.58601999999999,0.0,SubCentre,Maharashtra,Buldana,Jalgaon (Jamod),Jalgaon (Jamod)
9767,Nichpur,subcenter nichpur,subcenter nichpur,subcenter nichpur,subcenter nichpur,431804.0,,19.433386,78.63212,0.0,SubCentre,Maharashtra,Nanded,Kinwat,Kinwat
9768,Daur,Daur,Daur,Daur,Subcenter,431801.0,2467222095,19.9038,77.44768,0.0,SubCentre,Maharashtra,Nanded,Bhokar,Bhokar
9769,Bibi,,,,Bibi,415523.0,,17.925641,74.27644699999999,0.0,SubCentre,Maharashtra,Satara,Phaltan,Phaltan
9770,Bhilewada,sub center Bhilewada,infrant of petrol pamp bhilewada,infrant of petrol pamp bhilewada,Sub district in case of Village,441904.0,,21.1386145,79.6866933,0.0,SubCentre,Maharashtra,Bhandara,Bhandara,Bhandara
9771,Khodegaon,,,,Khodegaon,431007.0,,19.74215556,75.45389167,0.0,SubCentre,Maharashtra,Aurangabad,Aurangabad,Aurangabad
9772,Pelhar,,,NEAR Z.P.SCHOOL,,401202.0,,19.4417467,72.86465909999998,14.0,SubCentre,Maharashtra,Palghar,Vasai,\N
9773,Jamnya,At Jamnya,Near Gram Panchyat Jamnya,,Maharashatra,425508.0,,21.400655,75.819357,0.0,SubCentre,Maharashtra,Jalgaon,Yawal,Yawal
9774,Hazaripahad UPHC,Hazari pahad,-,-,-,440006.0,,21.196906,79.06997199999999,0.0,Urban Health Posts,Maharashtra,Nagpur,Nagpur (Urban),\N
9775,Jinti,\N,\N,,Jinti,415112.0,,17.228248999999998,73.89403100000001,0.0,SubCentre,Maharashtra,Satara,Patan,Patan
9776,Umraj,Umraj,Umraj,Umraj,Umraj,431742.0,2466,18.831349600000003,77.10245490000001,0.0,SubCentre,Maharashtra,Nanded,Kandhar,kandhar
9777,UPHC Kumbhare nagar Gondia,At.Kumbhare Nagar Post.Gondia Tah.Dist.Gondia,At.Kumbhare Nagar Post.Gondia Tah.Dist.Gondia,Raiwaly Line,Bhimnagar Gondia,441601.0,,21.44764,80.198479,213.0,Urban Health Posts,Maharashtra,Gondiya *,Gondiya,Gondia
9778,Dhundalwadi,PHC Dhundalwadi,Dhundalwadi Char Rasta,near BSNAL Tower,Dhundalwadi Patilpada,401606.0,,20.04601398,72.90774107,67.0,Primary Health Centre,Maharashtra,Palghar,Dahanu,\N
9779,Atit,sub center atit,\N,,village-atit,415519.0,,17.5311,74.0669,0.0,SubCentre,Maharashtra,Satara,Satara,Satara
9780,Pimpalgaon Rohana,Sub Center Pimpalgaon,NEAR Z.P.SCHOOL,Pimpalgaon,Pimpalgaon,442201.0,,20.902437,78.189697,0.0,SubCentre,Maharashtra,Wardha,Arvi,Arvi
9781,Kohor,PHC kohor,phc kohor,NEAR ZP SCHOOL,peint,422208.0,02558-224388,20.30023,73.49054,0.0,Primary Health Centre,Maharashtra,Nashik,Peint,Peint
9782,Mendha,Mendha,Mendha,Taki Ward  Near School,Mendha,441911.0,07198-252516,21.390426,80.117798,0.0,SubCentre,Maharashtra,Gondiya *,Tirora,Tiroda
9783,Hanuman Nagar HP,"Thakur Complex,",,,Kandivali (W),400101.0,,19.2105,72.8624,0.0,Primary Health Centre,Maharashtra,Mumbai (Suburban) *,\N,\N
9784,Pur,,,At Post Pur,Subcentre Pur,415804.0,2354265971,17.06878,73.592621,0.0,SubCentre,Maharashtra,Ratnagiri,Sangameshwar,Sangameshwar
9785,Nimboni,SubCentre Nimboni,,,Nimboni,413575.0,,17.363531,75.461656,0.0,SubCentre,Maharashtra,Solapur,Mangalvedhe,Mangalwedha
9786,Padampur,Sc Padampur,"Deori Road Near RH Amgaon tah Amgaon,dist gondia",near Anganwadi,"sawangi,chichtola,pipartola,bamhani",441902.0,,21.369966,80.386963,0.0,SubCentre,Maharashtra,Gondiya *,Amgaon,Amgaon
9787,Zapi,SC - Zapi,,Narmada Revar,SubCentre - Zapi,425432.0,,21.93570505,74.4262,0.0,SubCentre,Maharashtra,Nandurbar,Akrani,Akrani
9788,Kund Surj,,,,At Post Kund Sarjapur,444601.0,,20.9082,77.7874,0.0,SubCentre,Maharashtra,Amravati,Amravati,Amravati
9789,Niwali,subcentreniwali,,,,413511.0,,18.3671678,76.3058328,0.0,SubCentre,Maharashtra,Latur,Latur,Latur
9790,Walwa 2,walwa 2,523,PANK TAKI NEAR,walwa2,415313.0,2342267501,17.02199,74.371605,0.0,SubCentre,Maharashtra,Sangli,Walwa,\N
9791,PMC-Tarachand Hospital,,,,,,,0.0,0.0,0.0,Maternity Home,Maharashtra,Pune,Pune City,Pune City
9792,LMC Boudh Nagar,Baudha Nagar Urban Health Facility,Baudhnagar,,Latur,413512.0,,18.35,76.55,0.0,Urban Health Posts,Maharashtra,Latur,Latur,Latur
